scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,2026,baseline_ols_f_n5,type1_error,100,,,,0.05,0.0,5,100,0.7281911373138428
seed,2026,baseline_ols_f_n5,type1_error,300,,,,0.04,-0.010000000000000002,12,300,0.10699892044067383
seed,2026,baseline_ols_f_n5,type1_error,500,,,,0.06,0.009999999999999995,30,500,0.17325425148010254
seed,2026,baseline_ols_f_n5,type1_error,1000,,,,0.05,0.0,50,1000,0.327207088470459
seed,2026,baseline_ols_f_n5,type1_error,2000,,,,0.0515,0.0014999999999999944,103,2000,0.6628282070159912
seed,2026,baseline_ols_f_n5,power,500,0.05,0.05,0.050000000000000024,0.076,,38,500,0.17786908149719238
seed,2026,baseline_ols_f_n5,power,500,0.1,0.1,0.10000000000000003,0.1,,50,500,0.17623615264892578
seed,2026,baseline_ols_f_n5,power,500,0.15,0.15,0.15,0.202,,101,500,0.1701951026916504
seed,2026,baseline_ols_f_n5,power,500,0.2,0.2,0.20000000000000007,0.4,,200,500,0.1693277359008789
seed,2026,baseline_ols_f_n5,power,500,0.3,0.3,0.3,0.82,,410,500,0.18508386611938477
seed,2026,baseline_ols_f_n5,power,500,0.5,0.5,0.5,1.0,,500,500,0.1693429946899414
seed,2026,baseline_ols_f_n10,type1_error,50,,,,0.08,0.03,4,50,0.02226400375366211
seed,2026,baseline_ols_f_n10,type1_error,100,,,,0.04,-0.010000000000000002,4,100,0.037889957427978516
seed,2026,baseline_ols_f_n10,type1_error,300,,,,0.05,0.0,15,300,0.11403203010559082
seed,2026,baseline_ols_f_n10,type1_error,500,,,,0.056,0.005999999999999998,28,500,0.18895912170410156
seed,2026,baseline_ols_f_n10,type1_error,1000,,,,0.059,0.008999999999999994,59,1000,0.35356593132019043
seed,2026,baseline_ols_f_n10,type1_error,2000,,,,0.045,-0.0050000000000000044,90,2000,0.7156460285186768
seed,2026,baseline_ols_f_n10,power,500,0.05,0.05,0.05000000000000004,0.058,,29,500,0.18752002716064453
seed,2026,baseline_ols_f_n10,power,500,0.1,0.1,0.10000000000000006,0.094,,47,500,0.19309782981872559
seed,2026,baseline_ols_f_n10,power,500,0.15,0.15,0.15000000000000008,0.156,,78,500,0.20455503463745117
seed,2026,baseline_ols_f_n10,power,500,0.2,0.2,0.2000000000000001,0.314,,157,500,0.18784785270690918
seed,2026,baseline_ols_f_n10,power,500,0.3,0.3,0.3,0.84,,420,500,0.19510197639465332
seed,2026,baseline_ols_f_n10,power,500,0.5,0.5,0.49999999999999994,1.0,,500,500,0.18400120735168457
seed,2026,baseline_ols_f_n20,type1_error,50,,,,0.06,0.009999999999999995,3,50,0.028205156326293945
seed,2026,baseline_ols_f_n20,type1_error,100,,,,0.05,0.0,5,100,0.050032854080200195
seed,2026,baseline_ols_f_n20,type1_error,300,,,,0.043333333333333335,-0.006666666666666668,13,300,0.14124536514282227
seed,2026,baseline_ols_f_n20,type1_error,500,,,,0.036,-0.014000000000000005,18,500,0.24213409423828125
seed,2026,baseline_ols_f_n20,type1_error,1000,,,,0.05,0.0,50,1000,0.4802229404449463
seed,2026,baseline_ols_f_n20,type1_error,2000,,,,0.046,-0.0040000000000000036,92,2000,1.0179288387298584
seed,2026,baseline_ols_f_n20,power,500,0.05,0.05,0.05000000000000004,0.07,,35,500,0.23651599884033203
seed,2026,baseline_ols_f_n20,power,500,0.1,0.1,0.10000000000000009,0.136,,68,500,0.23291492462158203
seed,2026,baseline_ols_f_n20,power,500,0.15,0.15,0.15000000000000008,0.296,,148,500,0.2520468235015869
seed,2026,baseline_ols_f_n20,power,500,0.2,0.2,0.20000000000000015,0.654,,327,500,0.2632567882537842
seed,2026,baseline_ols_f_n20,power,500,0.3,0.3,0.3000000000000001,0.998,,499,500,0.24472975730895996
seed,2026,baseline_ols_f_n20,power,500,0.5,0.5,0.3644999999999999,1.0,,500,500,0.23988795280456543
seed,2026,sparse_lasso_n5,type1_error,50,,,,0.08,0.03,4,50,19.507251977920532
seed,2026,sparse_lasso_n5,type1_error,100,,,,0.05,0.0,5,100,35.904646158218384
