scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,rejections_total,effective_iterations_total,mc_se_pooled,ci95_low,ci95_high,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols_f_n5,power,500,0.2,0.2,,0.47500000000000003,0.07500000000000001,,237.5,500.0,,,,,,0.1726222038269043,2,0.2,0.20000000000000007
aggregate,,baseline_ols_f_n5,power,500,0.3,0.3,,0.874,0.05400000000000005,,437.0,500.0,,,,,,0.18273437023162842,2,0.3,0.3
aggregate,,baseline_ols_f_n5,power,500,0.5,0.5,,1.0,0.0,,500.0,500.0,,,,,,0.1797349452972412,2,0.5,0.5
aggregate,,baseline_ols_f_n10,type1_error,50,,,,0.06,0.02,0.009999999999999998,3.0,50.0,6,100,0.023748684174075833,0.013452579018811368,0.10654742098118863,0.023700475692749023,2,,
aggregate,,baseline_ols_f_n10,type1_error,100,,,,0.035,0.005000000000000001,-0.015000000000000003,3.5,100.0,7,200,0.012995191418367026,0.009529424820000632,0.060470575179999375,0.03902244567871094,2,,
aggregate,,baseline_ols_f_n10,type1_error,300,,,,0.051666666666666666,0.001666666666666667,0.001666666666666667,15.5,300.0,31,600,0.009036704987828088,0.03395472489052362,0.06937860844280971,0.1150045394897461,2,,
aggregate,,baseline_ols_f_n10,type1_error,500,,,,0.057,0.0010000000000000009,0.006999999999999999,28.5,500.0,57,1000,0.007331507348424334,0.042630245597088307,0.0713697544029117,0.1880660057067871,2,,
aggregate,,baseline_ols_f_n10,type1_error,1000,,,,0.056499999999999995,0.0024999999999999988,0.006499999999999995,56.5,1000.0,113,2000,0.005162739098579358,0.04638103136678446,0.06661896863321554,0.3561943769454956,2,,
aggregate,,baseline_ols_f_n10,type1_error,2000,,,,0.048,0.002999999999999999,-0.0020000000000000052,96.0,2000.0,192,4000,0.0033799408278844174,0.04137531597734655,0.054624684022653455,0.7226485013961792,2,,
aggregate,,baseline_ols_f_n10,power,500,0.05,0.05,,0.066,0.007999999999999997,,33.0,500.0,,,,,,0.19114649295806885,2,0.05,0.05000000000000004
aggregate,,baseline_ols_f_n10,power,500,0.1,0.1,,0.097,0.0030000000000000027,,48.5,500.0,,,,,,0.1890798807144165,2,0.1,0.10000000000000006
aggregate,,baseline_ols_f_n10,power,500,0.15,0.15,,0.14300000000000002,0.012999999999999998,,71.5,500.0,,,,,,0.2028050422668457,2,0.15,0.15000000000000005
aggregate,,baseline_ols_f_n10,power,500,0.2,0.2,,0.298,0.016000000000000014,,149.0,500.0,,,,,,0.18658936023712158,2,0.2,0.2000000000000001
aggregate,,baseline_ols_f_n10,power,500,0.3,0.3,,0.751,0.08899999999999997,,375.5,500.0,,,,,,0.1899780035018921,2,0.3,0.3
aggregate,,baseline_ols_f_n10,power,500,0.5,0.5,,0.999,0.0010000000000000009,,499.5,500.0,,,,,,0.1886436939239502,2,0.5,0.49999999999999994
aggregate,,baseline_ols_f_n20,type1_error,50,,,,0.07,0.010000000000000002,0.019999999999999997,3.5,50.0,7,100,0.02551470164434615,0.019991184777081554,0.12000881522291845,0.029196977615356445,2,,
aggregate,,baseline_ols_f_n20,type1_error,100,,,,0.055,0.0049999999999999975,0.0049999999999999975,5.5,100.0,11,200,0.016120638945153507,0.02340354766749913,0.08659645233250088,0.050696492195129395,2,,
aggregate,,baseline_ols_f_n20,type1_error,300,,,,0.055,0.011666666666666665,0.0049999999999999975,16.5,300.0,33,600,0.009307255234493142,0.036757779740393445,0.07324222025960656,0.141778826713562,2,,
aggregate,,baseline_ols_f_n20,type1_error,500,,,,0.046,0.010000000000000002,-0.0040000000000000036,23.0,500.0,46,1000,0.006624499981130651,0.03301598003698392,0.058984019963016075,0.24596405029296875,2,,
