scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,lowrank_svd_n10,type1_error,50,,,,0.02,0.0,-0.030000000000000002,1.0,50.0,3.3157880306243896,1,,
aggregate,,lowrank_svd_n10,type1_error,100,,,,0.07,0.0,0.020000000000000004,7.0,100.0,6.463229179382324,1,,
aggregate,,lowrank_svd_n10,type1_error,300,,,,0.07,0.0,0.020000000000000004,21.0,300.0,20.44212508201599,1,,
aggregate,,lowrank_svd_n10,type1_error,500,,,,0.068,0.0,0.018000000000000002,34.0,500.0,34.567692041397095,1,,
aggregate,,lowrank_svd_n10,type1_error,1000,,,,0.068,0.0,0.018000000000000002,68.0,1000.0,62.66272783279419,1,,
aggregate,,lowrank_svd_n10,type1_error,2000,,,,0.061,0.0,0.010999999999999996,122.0,2000.0,125.2874608039856,1,,
aggregate,,lowrank_svd_n10,power,500,0.05,0.05,,0.064,0.0,,32.0,500.0,34.6412308216095,1,0.05,0.050000000000000024
aggregate,,lowrank_svd_n10,power,500,0.1,0.1,,0.048,0.0,,24.0,500.0,34.6826868057251,1,0.1,0.10000000000000003
aggregate,,lowrank_svd_n10,power,500,0.15,0.15,,0.092,0.0,,46.0,500.0,34.63654923439026,1,0.15,0.15
aggregate,,lowrank_svd_n10,power,500,0.2,0.2,,0.124,0.0,,62.0,500.0,34.67622399330139,1,0.2,0.20000000000000007
aggregate,,lowrank_svd_n10,power,500,0.3,0.3,,0.364,0.0,,182.0,500.0,34.76906371116638,1,0.3,0.3
aggregate,,lowrank_svd_n10,power,500,0.5,0.5,,0.98,0.0,,490.0,500.0,34.693280935287476,1,0.5,0.5
aggregate,,lowrank_svd_n20,type1_error,50,,,,0.04,0.0,-0.010000000000000002,2.0,50.0,4.326307058334351,1,,
aggregate,,lowrank_svd_n20,type1_error,100,,,,0.11,0.0,0.06,11.0,100.0,8.536626815795898,1,,
aggregate,,lowrank_svd_n20,type1_error,300,,,,0.09,0.0,0.039999999999999994,27.0,300.0,27.31949734687805,1,,
aggregate,,lowrank_svd_n20,type1_error,500,,,,0.072,0.0,0.021999999999999992,36.0,500.0,46.33597207069397,1,,
aggregate,,lowrank_svd_n20,type1_error,1000,,,,0.067,0.0,0.017,67.0,1000.0,83.95176911354065,1,,
aggregate,,lowrank_svd_n20,type1_error,2000,,,,0.074,0.0,0.023999999999999994,148.0,2000.0,167.25885581970215,1,,
aggregate,,lowrank_svd_n20,power,500,0.05,0.05,,0.082,0.0,,41.0,500.0,46.382177114486694,1,0.05,0.05000000000000002
aggregate,,lowrank_svd_n20,power,500,0.1,0.1,,0.07,0.0,,35.0,500.0,46.2722008228302,1,0.1,0.1
aggregate,,lowrank_svd_n20,power,500,0.15,0.15,,0.1,0.0,,50.0,500.0,46.31564402580261,1,0.15,0.14999999999999997
aggregate,,lowrank_svd_n20,power,500,0.2,0.2,,0.092,0.0,,46.0,500.0,46.280922174453735,1,0.2,0.2
aggregate,,lowrank_svd_n20,power,500,0.3,0.3,,0.172,0.0,,86.0,500.0,46.39957404136658,1,0.3,0.29999999999999993
aggregate,,lowrank_svd_n20,power,500,0.5,0.5,,0.9,0.0,,450.0,500.0,46.38852906227112,1,0.5,0.5000000000000001
