Date,SPY,EFA,EEM,AGG,TLT,TIP,GLD,VNQ,USO
2018-07-19,251.382,61.0261,37.4374,99.5466,102.217,104.543,115.81,70.2133,113.04
2018-07-20,251.078,61.3157,37.9713,99.3573,100.951,104.296,116.56,69.5351,113.2
2018-07-23,251.555,61.3157,37.7213,99.0049,99.6914,103.781,116.0,69.3906,112.72
2018-07-24,252.838,61.6747,38.2755,99.1582,100.025,103.84,116.04,69.0377,113.84
2018-07-25,254.962,62.1335,38.8963,99.1682,99.8757,103.86,116.68,69.5861,115.36
2018-07-26,254.39,61.8537,38.464,99.1084,99.6815,103.751,115.77,69.8171,115.76
2018-07-27,252.674,61.9721,38.6025,99.1881,99.8568,103.919,115.83,69.072,114.56
2018-07-30,251.334,61.9633,38.5418,99.0746,99.4942,103.86,115.65,69.1153,116.32
2018-07-31,252.596,62.0435,38.7506,99.1682,100.044,104.018,115.99,70.2733,114.24
2018-08-01,252.15,61.7285,38.4046,99.0546,99.2303,103.761,115.14,70.7707,112.72
2018-08-02,253.508,61.3254,37.8935,99.0984,99.385,103.82,114.52,70.4876,114.88
2018-08-03,254.619,61.3587,38.1875,99.3175,99.8757,104.028,114.92,71.2504,114.16
